investor_id	investee_id	ratio_of_investment
20eb81d3-58ea-eb17-23ed-d0916a83b0d4	23628e0e-bec5-e559-9b60-266512677412	2.1625%
20eb81d3-58ea-eb17-23ed-d0916a83b0d4	7a041264-05b6-7d08-7a88-4826a96e19b5	100%
20eb81d3-58ea-eb17-23ed-d0916a83b0d4	15b3a359-a335-5b69-9795-d0e00dbdb79a	100%
20eb81d3-58ea-eb17-23ed-d0916a83b0d4	f85991f5-d8b7-e550-16f7-43f6e127e597	100%
20eb81d3-58ea-eb17-23ed-d0916a83b0d4	4ce5a30f-3115-3ec4-986c-4d98b6a40c03	100%
20eb81d3-58ea-eb17-23ed-d0916a83b0d4	7dfc8526-952e-918a-fcd7-67c8bddc45dd	100%
20eb81d3-58ea-eb17-23ed-d0916a83b0d4	51dde78b-884b-14bc-64f7-3b71b6e41f6c	100%
20eb81d3-58ea-eb17-23ed-d0916a83b0d4	bbc0bd17-1b6e-f4d3-dfe0-48f2c94d6930	100%
20eb81d3-58ea-eb17-23ed-d0916a83b0d4	3af52c95-2c2d-a0f0-0f13-8f09d4dd8faf	100%
20eb81d3-58ea-eb17-23ed-d0916a83b0d4	e45153b0-0226-f364-d9cb-7c3450b15f18	100%
99254afd-9487-4445-b92c-72bca40aad75	19f33a18-5bd1-7ee1-1d49-f5071fc5deda	100%
99254afd-9487-4445-b92c-72bca40aad75	74e5b46b-6695-29b0-f948-157e35f2c84b	100%
99254afd-9487-4445-b92c-72bca40aad75	de278a06-6841-f960-f14a-0e6559128dae	100%
99254afd-9487-4445-b92c-72bca40aad75	c88bf07e-719c-1b25-e6f9-c0ea3b464cf3	60.0%
99254afd-9487-4445-b92c-72bca40aad75	94f3be2d-527a-8fc3-b3b6-a606f90bfb9e	100%
99254afd-9487-4445-b92c-72bca40aad75	366f61b9-5545-07f1-f7f5-83b6761b4360	51.00%
99254afd-9487-4445-b92c-72bca40aad75	184dad6b-4eb3-a9c4-36e4-143dd7346eb1	51.00%
99254afd-9487-4445-b92c-72bca40aad75	4ecec130-8f8d-c672-2365-46051b48ad63	100%
99254afd-9487-4445-b92c-72bca40aad75	f4938e2b-34c6-a2c9-b30f-5c4a14900031	51.00%
99254afd-9487-4445-b92c-72bca40aad75	6c6dd91e-f366-e177-6372-b92604812af2	51.00%
3000c692-bad2-5c2e-600a-54feae11445e	aa06b0e9-6828-0d2a-9d92-566b0aed46aa	100%
3000c692-bad2-5c2e-600a-54feae11445e	6fd5841e-4e5f-4c42-990c-6029f189d4bb	100%
3000c692-bad2-5c2e-600a-54feae11445e	3f8966f8-e351-fecd-908c-f5236e8467d4	17.3431%
3000c692-bad2-5c2e-600a-54feae11445e	2be218b7-550a-5ee4-e1a6-9234587ce05e	76.2014%
3000c692-bad2-5c2e-600a-54feae11445e	66da02ca-7653-37dd-8971-24da7fcbff49	90.0%
3000c692-bad2-5c2e-600a-54feae11445e	1dc02bc2-9de3-c7b0-d752-f67d9a931d04	2.3077%
4f86b31d-aae4-fa4b-edc1-b8c37c779e4d	f4bcdf7a-ab37-8595-b3f5-b9efd1ca0b6f	100%
4f86b31d-aae4-fa4b-edc1-b8c37c779e4d	af08e336-472e-34c2-f821-bb684448e1d1	100%
4f86b31d-aae4-fa4b-edc1-b8c37c779e4d	19234a07-1460-f53c-ee5e-724053703212	50.0%
1492884f-05e7-b96c-aae5-631934577d9c	39af53a5-4f8a-7f00-8f39-a03eeb96d94b	25.00%
1492884f-05e7-b96c-aae5-631934577d9c	b9118cff-7303-bb2f-9c15-60914e7e664e	90.0%
1492884f-05e7-b96c-aae5-631934577d9c	88e4f719-6101-565d-b4e4-311f08d366ac	25.00%
1492884f-05e7-b96c-aae5-631934577d9c	bd6b62a8-f150-ebc2-b939-7e2330a7860f	50.0%
1492884f-05e7-b96c-aae5-631934577d9c	ff8ed26c-4a14-002c-f06e-bdb37094f2e7	100%
1492884f-05e7-b96c-aae5-631934577d9c	159f0f52-2a61-7267-ff10-9f8a91eb9240	82.5343%
1492884f-05e7-b96c-aae5-631934577d9c	a32004bf-c7e1-1cc0-802c-973d9e4e68dd	15.00%
1492884f-05e7-b96c-aae5-631934577d9c	95453e23-8a8f-b55b-9606-7e10da53d56e	75.00%
1492884f-05e7-b96c-aae5-631934577d9c	0c629291-bb07-2f17-67ba-2604a5aa9556	参股
b13f1014-01eb-0f37-7091-e78829edec40	e09f550c-f293-3ed3-20f4-ac6ba80cac46	100%
b13f1014-01eb-0f37-7091-e78829edec40	1e6b4ff9-9c3d-757d-a856-31f77a8f880f	100%
b13f1014-01eb-0f37-7091-e78829edec40	1f085652-fb24-ebd3-7b94-3b71e2c40786	100%
b13f1014-01eb-0f37-7091-e78829edec40	4e730b03-5b5f-0785-199e-7b8f2cdd4772	100%
b13f1014-01eb-0f37-7091-e78829edec40	5ef0b052-edef-1e6e-bca8-ab0731c0f4d3	100%
b13f1014-01eb-0f37-7091-e78829edec40	2503b7dd-c1fc-efbd-25d9-4ee7bc1fc679	100%
b13f1014-01eb-0f37-7091-e78829edec40	6cea75ca-0a4a-e067-10b8-9c6fe8cbac2f	80.0%
b13f1014-01eb-0f37-7091-e78829edec40	a6088d5b-9068-4191-7a00-0c6f2c8421b1	82.00%
